PD;qn01;Unit_qn01;qn02;Unit_qn02;qn03;Unit_qn03;qn04;Unit_qn04;qn05;Unit_qn05;qn06;Unit_qn06;qn07;qn08;qn09;qn10
0.000550;419.76;MLN;815.76;MLN;16474.48;MLN;5.28;MLN;35662.88;MLN;18194.704;MLN;0;37.576;37.4;0.44
0.001383;25056.768;MLN;16759.7584;MLN;384658.208;MLN;514130.7864;MLN;344993.5368;MLN;341772.64;MLN;75.9088;14.344;11.88;0.2904
0.004083;29242.74949;MLN;7001.035105;MLN;243093.4063;MLN;N/A;MLN;285952.1895;MLN;228127.0321;MLN;192.10752;10.56;8.3512;0.616
0.000983;1178.584;MLN;1165.3928;MLN;23076.72277;MLN;10899.416;MLN;24358.65432;MLN;24108.79096;MLN;0;12.7072;11.4048;-0.4224
0.062050;342.4256;MLN;72.6;MLN;3700.488;MLN;0.528;MLN;4003.296;MLN;3719.496;MLN;5.016;15.488;9.24;-6.248
0.012550;187.0920832;MLN;57.8716248;MLN;1030.206619;MLN;570.6760048;MLN;1498.331648;MLN;2159.954122;MLN;106.77304;14.344;12.056;2.97968
0.009150;4691.72;MLN;5705.392;MLN;78407.648;MLN;185411.248;MLN;36505.832;MLN;108580.56;MLN;70.312;12.584;10.648;0.264
0.006950;1242.404108;MLN;314.989268;MLN;6733.903581;MLN;1245.027344;MLN;7013.830358;MLN;7619.740084;MLN;106.20104;18.1544;N/A;2.49656
0.012550;275.7748576;MLN;72.0582808;MLN;2595.972738;MLN;220.2570216;MLN;2099.759429;MLN;658.60608;MLN;6.05968;11.9328;9.592;0.99968
0.001583;2622.5672;MLN;1098.39664;MLN;45572.13672;MLN;12092.89752;MLN;50986.99232;MLN;52760.5672;MLN;254.3992;15.7256;13.8864;1.0824
0.085450;228.503;MLN;150.7065912;MLN;1062.706603;MLN;770.4910312;MLN;426.9221616;MLN;N/A;MLN;114.72648;N/A;N/A;1.81544
0.000250;1831.192;MLN;1695.845114;MLN;47353.768;MLN;25209.33086;MLN;84667.704;MLN;N/A;MLN;427.0904;N/A;N/A;0.73304
0.009150;106.92;MLN;50.424;MLN;1985.808;MLN;262.856;MLN;1937.936;MLN;1952.808;MLN;90.0856;11.9416;11.2464;1.0912
0.009150;2473.852198;MLN;1429.211766;MLN;19568.20028;MLN;4771.332905;MLN;24513.93671;MLN;20190.16562;MLN;49.58536;14.256;11.704;0.51216
0.004083;291.8075424;MLN;137.3211928;MLN;6001.622924;MLN;360.925884;MLN;5149.087152;MLN;6812.504591;MLN;92.60328;16.016;14.344;1.69488
0.223150;330.704;MLN;307.56;MLN;2875.488;MLN;271.92;MLN;1656.336;MLN;2168.584;MLN;N/A;12.408;6.952;-7.92
0.000783;40202.15639;MLN;28044.07235;MLN;677351.868;MLN;799729.8342;MLN;665979.4127;MLN;603234.5015;MLN;65.00648;11.968;10.736;0.30448
0.023850;107.84356;MLN;34.041128;MLN;619.184016;MLN;31.248536;MLN;353.958704;MLN;969.003376;MLN;39.117408;15.4;12.144;-2.812304
0.011183;29235.41109;MLN;5499.610002;MLN;342806.1766;MLN;56092.52451;MLN;431462.9698;MLN;470146.9085;MLN;21.28808;10.4456;8.0696;0.79288
0.009983;2537.04;MLN;818.4;MLN;24289.76;MLN;3367.76;MLN;21510.72;MLN;29463.28;MLN;75.7504;11.3784;7.3216;0.7304
0.062050;235.8721728;MLN;34.6324704;MLN;1214.258399;MLN;232.5806736;MLN;978.2489992;MLN;1761.951831;MLN;42.97392;14.6696;10.8328;0.98736
0.012550;1544.132762;MLN;784.7675968;MLN;23598.24161;MLN;8200.807111;MLN;24312.34201;MLN;27664.66987;MLN;53.812;10.9912;8.8616;1.14752
0.162050;589.3244192;MLN;141.1981032;MLN;1807.79515;MLN;743.947996;MLN;2279.899406;MLN;N/A;MLN;1.56024;11.88;6.512;2.2
0.003850;2493.509022;MLN;2054.035966;MLN;84292.21703;MLN;16670.17993;MLN;47034.34812;MLN;58773.5579;MLN;20.1388;12.2584;10.6304;0.10648
0.002550;3452.01142;MLN;1552.921128;MLN;36108.41648;MLN;6717.946303;MLN;31476.76922;MLN;27421.74978;MLN;78.53472;11.968;9.68;1.01024
0.002050;6605.591265;MLN;2996.352999;MLN;163058.7787;MLN;16876.78582;MLN;156967.828;MLN;115635.2988;MLN;N/A;12.0208;9.1784;0.33704
0.012550;273.481692;MLN;256.5932952;MLN;4071.14312;MLN;931.32292;MLN;5036.730811;MLN;3975.032019;MLN;159.82032;16.2448;12.232;1.2452
0.000450;156.0245984;MLN;337.8611104;MLN;10957.55708;MLN;708.7189032;MLN;13010.62439;MLN;N/A;MLN;85.4832;N/A;19.36;0.33088
0.009150;412.5995896;MLN;202.8612608;MLN;7773.952252;MLN;14.8803248;MLN;7704.127341;MLN;8729.983284;MLN;13.5344;14.0448;13.5432;0.22
0.000483;1138.250722;MLN;471.7738872;MLN;30016.40264;MLN;7661.655874;MLN;34880.52662;MLN;42973.5937;MLN;551.6764;15.4968;13.5432;2.03016
0.029783;729.171432;MLN;247.216024;MLN;2509.481542;MLN;367.5057848;MLN;2149.710314;MLN;2823.159196;MLN;366.7444;21.384;14.872;-2.55728
0.162050;834.1913976;MLN;205.8413808;MLN;10748.29105;MLN;604.3822224;MLN;8096.28343;MLN;4119.28;MLN;131.71664;7.5064;7.5064;1.3904
0.012550;57.1018008;MLN;40.2395224;MLN;1366.03595;MLN;226.4910208;MLN;1374.850321;MLN;N/A;MLN;114.4;N/A;N/A;-0.88352
0.023850;32.9665248;MLN;6.9170992;MLN;157.4972344;MLN;132.3097512;MLN;210.5872472;MLN;N/A;MLN;714.97448;N/A;N/A;0.08712
0.032750;8.32216;MLN;8.0432;MLN;40.04;MLN;19.668;MLN;182.3448;MLN;177.8216;MLN;1144;14.256;11.264;2.7104
0.067883;546.8993992;MLN;138.6584496;MLN;4878.33669;MLN;1729.491306;MLN;7299.110465;MLN;N/A;MLN;723.96016;11.264;N/A;1.04896
0.000250;6056.16;MLN;3045.68;MLN;178545.84;MLN;49268.56;MLN;199248.72;MLN;N/A;MLN;175.12;13.552;11.88;0.8976
0.003317;501.5765568;MLN;371.8293568;MLN;9968.19465;MLN;126.2506784;MLN;11656.73874;MLN;12900.70681;MLN;101.82568;13.9304;12.1352;1.74504
0.023850;13293.544;MLN;2974.4;MLN;110852.632;MLN;8540.576;MLN;87614.032;MLN;128266.864;MLN;106.832;12.584;10.912;0
0.003317;378.3855152;MLN;120.9093952;MLN;9450.359459;MLN;997.430016;MLN;7238.036485;MLN;9189.983836;MLN;16.43752;15.1624;14.1064;0.68112
0.003850;217.7042032;MLN;138.9181024;MLN;2236.344959;MLN;1533.439354;MLN;2397.599204;MLN;3713.773263;MLN;173.07664;22.1408;21.6392;-0.01936
0.032750;12380.05334;MLN;2795.286014;MLN;144938.9688;MLN;11558.41276;MLN;183233.9805;MLN;180350.3081;MLN;81.74496;9.548;7.8232;0.86152
0.000450;1148.048;MLN;491.128;MLN;29516.784;MLN;2539.592;MLN;33264.264;MLN;43852.16;MLN;N/A;15.1008;13.1648;1.9096
0.001050;19759.96;MLN;15210.096;MLN;469618.16;MLN;232987.92;MLN;381424.56;MLN;374226.16;MLN;50.6;12.5224;9.724;0.2112
0.000250;2702.744;MLN;4426.136;MLN;166224.256;MLN;3556.872;MLN;205159.504;MLN;84944.288;MLN;155.584;13.288;11;0.44
